,Time (Seconds),W,X,Y,Z,roll rad,pitch rad,yaw rad,roll deg std dev,pitch deg std dev,yaw deg std dev,roll deg,pitch deg,yaw deg,omega_x deg,omega_y deg,omega_z deg,omega_x rad,omega_y rad,omega_z rad
619,61.9,0.22989024999999996,0.00926675,0.97275875,0.0022155,-2.014636314422659e-05,0.019049162838095688,-0.9289054606694985,,,,-0.0011543015807020946,1.091436633880332,-53.22236246301775,-1.3724885515824508,3.016087267845289,228.76381278828336,-0.023954444171041797,0.052640653351380386,3.9926817425714543
620,62.0,0.13238924999999999,0.0114145,0.99072225,0.0069967499999999995,-0.010815334641581093,0.024472972777106528,-0.5314117582144579,,,,-0.6196730289842316,1.4021980522667616,-30.447650929314992,-0.6120946712473239,5.569808105965757,227.6319917910378,-0.010683067347178068,0.09721149015337169,3.9729277396263134
621,62.1,0.03367325,0.011339499999999999,0.9989277499999999,0.010139500000000001,-0.019470647993665244,0.02334040416766582,-0.13434333419885836,,,,-1.1155859544218825,1.3373066509368086,-7.69730605531012,0.3504110744456519,3.779362229342236,227.4110056277998,0.006115826984527589,0.06596231452753507,3.969070803476461
622,62.2,0.06495725,-0.010061500000000001,-0.9973795,-0.01197575,-0.025173381096004397,0.018516244952198835,0.26090409626007716,,,,-1.4423284928754625,1.0609026881914079,14.948703573377387,0.92552562749008,2.9360232153641945,226.41911150521506,0.01615346951128844,0.05124327202309576,3.951758985206177
623,62.3,0.16382425,-0.00862575,-0.98600475,-0.01052275,-0.02355205218282172,0.013563456430650348,0.6594940520689495,,,,-1.3494331889475626,0.7771288090858409,37.78622579753176,4.026415441962253,2.540761423231545,228.35771314624097,0.07027420651538396,0.04434465234304761,3.9855939667266442
624,62.4,0.259834,-0.008495,-0.96520375,-0.00695975,-0.017822657315249294,0.012783143371583532,1.0529408127629132,,,,-1.0211630438717474,0.7324201641023698,60.32906464838957,6.164306379680011,3.5701765289796263,225.3821386544465,0.10758744242710787,0.06231133530811723,3.9336603947064734
625,62.5,0.353832,-0.00771675,-0.9348657499999999,-0.00187175,-0.00893194058571054,0.013104798426696236,1.4485128666096656,,,,-0.5117624984228225,0.7508496412193757,82.99367382713022,8.064071788767437,2.208476102982092,226.61594433388677,0.14074460383118045,0.038545179448650865,3.9551943661425124
626,62.6,0.44424824999999996,-0.009309,-0.8954092499999999,0.00554425,0.0016876050656754005,0.021599198292516907,1.8435005782309382,,,,0.09669264774809856,1.2375429030273928,105.6248026625596,10.972313789836813,4.485090877313593,226.26639169115185,0.1915030021946295,0.07827960306028324,3.9490935216177405
627,62.7,0.53111425,-0.0085235,-0.8467165000000001,0.01139725,0.010279853858633477,0.026544319706926247,2.2421382299324906,,,,0.5889922401109723,1.5208774892528123,128.46505766006464,10.985074282532565,0.486119793428219,228.33915033869258,0.1917257148063471,0.008484390954437114,3.9852699846165107
628,62.8,0.6117607500000001,-0.0084695,-0.79032925,0.0171595,0.01680089113078853,0.034389925082216284,2.63587767218787,,,,0.9626201538529601,1.9703975649820837,151.02466592913288,11.492982376252877,0.7067703803130064,225.50639322584522,0.20059038333929446,0.012335470192034473,3.9358290460880356
629,62.9,0.687001,-0.00657125,-0.72583125,0.01969425,0.019604356130245196,0.0366080947242308,3.032593669141478,,,,1.1232468663344726,2.0974893237135603,173.75481821989945,9.925484345715484,-3.182155802375013,227.13049565599337,0.17323238168789032,-0.05553909606288597,3.964174980883762
630,63.0,0.75511,-0.00387525,-0.6547657499999999,0.0175165,0.017124753773972504,0.03153449933275947,-2.856306237106456,,,,0.981176116449353,1.8067937208252285,-163.65429238309332,9.925484345715484,-3.182155802375013,227.13049565599337,0.17323238168789032,-0.05553909606288597,3.964174980883762
631,63.1,0.81628275,-0.001359,-0.5768387500000001,0.012812750000000001,0.01259612172437728,0.022488139473109122,-2.459473120701753,,,,0.721704613039867,1.2884754809107035,-140.91742964208015,2.517951418927442,-8.045934263892434,227.22781892565433,0.04394654266554693,-0.14042804430394928,3.965873592378152
632,63.2,0.8690659999999999,-0.000562,-0.493889,0.00723975,0.006204494047931467,0.013139893370291339,-2.065841906965131,,,,0.35549132296051295,0.7528604333696247,-118.36402241035967,-0.6987245163293387,-6.755242413585363,225.47702994889877,-0.012195043374351844,-0.11790122188743311,3.9353165602261453
633,63.3,0.91354625,-0.0008155,-0.4057725,0.0025322499999999998,0.000594534551438977,0.0052892375215498055,-1.670751152094893,,,,0.03406432057215693,0.3030509868270397,-95.72698963165726,-2.0169491751199478,-4.632676761241235,226.36444704290776,-0.035202403951226785,-0.08085546266428678,3.950804910355082
634,63.4,0.9492039999999999,-0.00443775,-0.31338725,0.0013447499999999998,-0.007552500143111812,0.005335120933518931,-1.2745000834887596,,,,-0.4327263829722571,0.3056799126825306,-73.02347577297698,-3.456652861036319,1.7409307218454413,227.02523398908562,-0.06032997352356578,0.030384973145324522,3.9623378182200844
635,63.5,0.9755317499999999,-0.008009249999999999,-0.217913,0.0037822499999999996,-0.013949949628948792,0.010871006327957343,-0.8781806253818478,,,,-0.7992732381588545,0.6228627816519666,-50.3160434845391,-1.196990771825109,6.338905534358099,226.99456712597853,-0.020891430084336325,0.11063477254743936,3.9618025804876074
636,63.6,0.9921685,-0.011337749999999999,-0.12102825,0.00870825,-0.020366052045064528,0.020026560179104477,-0.48467433507729524,,,,-1.1668888275259766,1.1474373764274446,-27.76979383823849,0.838780550010572,9.835200894790669,225.26371064631468,0.014639482299373438,0.17165663820918958,3.931593436037995
637,63.7,0.9991697500000001,-0.012118,-0.02259,0.015123249999999998,-0.023516460593048585,0.030774479031209605,-0.08953247359788567,,,,-1.347393941067401,1.7632477652021608,-5.129832866525322,5.161179202037766,11.47750724239743,226.08503706779592,0.09007957036101265,0.20032029130133006,3.945928286326465
638,63.8,0.9964545,-0.010633,0.07625599999999999,0.020372499999999998,-0.024289061619572457,0.03898949864629144,0.30633086289741873,,,,-1.3916607191346937,2.233933717763536,17.551465578622754,8.398416364191153,10.209817598672805,226.45944294317388,0.1465800175085068,0.17819493312490148,3.9524629015906223
639,63.9,0.9841240000000001,-0.007698000000000001,0.17380425,0.021562,-0.022637105999372523,0.03977470210687189,0.6996900681261404,,,,-1.2970106341543213,2.2789225621138627,40.08928787084889,9.908489073915495,5.54721337232982,225.1320878019822,0.17293575823770918,0.09681713765781347,3.929296184033553
640,64.0,0.9622525,-0.00437825,0.27005524999999997,0.018986,-0.018663033231547978,0.034181311274394,1.0943812801326767,,,,-1.0693130370801012,1.9584448742457135,62.70342852972662,10.005280666583898,1.0135556724261312,226.0297599437262,0.17462509021802203,0.017689883636101092,3.944963518510415
641,64.1,0.9312625,-0.000367,0.36305425,0.01311275,-0.010178498884815227,0.024159435751438627,1.4862057261952009,,,,-0.5831850278785276,1.384233703974906,85.15331559916062,10.284518527768336,-3.457459035993699,224.48017563190191,0.17949871029191733,-0.06034404393091919,3.9179181702318306
642,64.2,0.891231,0.00280475,0.45263575,0.007144500000000001,-0.0014390381836821957,0.015275196875515991,1.8785889687721367,,,,-0.08245081448316155,0.8752043121984883,107.63521935047703,8.441363645383495,-4.7668033228059095,224.79990169670185,0.14732958897009302,-0.08319641277796923,3.9234984427670345
643,64.3,0.8423525000000001,0.0047335,0.53820775,0.000869,0.007068841579070543,0.00656001138784826,2.27290787433032,,,,0.40501478852733447,0.3758609660814631,130.22802842117864,6.356736248013344,-6.590310922467125,225.88228746058766,0.1109459772087037,-0.11502262432719607,3.9423896381235557
644,64.4,0.7855369999999999,0.0078885,0.618143,-0.00214575,0.015076539352836373,0.0063820963246763625,2.665329854735374,,,,0.8638220745804217,0.3656671838499099,152.7121516865537,6.023021523853562,-3.4915564788305358,224.80956440564935,0.10512155650973085,-0.06093915657493254,3.9236670888528304
645,64.5,0.7210267499999999,0.009418250000000001,0.6922905,-0.0023852500000000002,0.016915260963478528,0.009601562324824741,3.0586838120998605,,,,0.9691730625697141,0.5501289979442765,175.24967329830773,3.2174308149140716,-1.9675688312053456,225.36378763057968,0.05615476117537482,-0.03434055436414983,3.9333401089188857
646,64.6,0.64959925,0.010550499999999999,0.7597035,-0.00083075,0.015001162122789138,0.014952494422249527,-2.8313532667775703,,,,0.8595032774273285,0.8567148235878022,-162.224592496933,3.2174308149140716,-1.9675688312053456,225.36378763057968,0.05615476117537482,-0.03434055436414983,3.9333401089188857
